 CERN Personnel
 Category       Division        Flag        Age        Service        Children        Grade        Step        Nation        HrPerWeek        Cost
 300 4 15 58 30 0 8 8 8 40 8155 
 316 4 15 55 26 0 9 8 3 40 9464 
 301 4 13 51 26 0 8 11 3 40 7812 
 341 9 15 54 28 1 8 8 3 40 8406 
 301 4 13 53 26 1 7 13 7 40 7197 
 303 4 13 53 26 1 8 10 7 40 7943 
 310 4 13 55 26 1 9 13 3 40 9592 
 300 4 13 50 27 1 7 13 7 40 7197 
 300 4 15 53 26 1 8 10 6 40 8669 
 301 4 15 50 27 0 9 6 8 40 9158 
 300 7 13 53 25 0 9 12 3 40 9202 
 300 4 13 51 27 0 8 11 7 40 7812 
 301 4 15 59 27 0 9 8 3 40 9464 
 341 4 15 52 28 1 9 6 3 40 9409 
 300 4 15 50 27 0 9 9 4 40 9617 
 367 4 15 52 27 0 7 13 8 40 7599 
 300 4 13 54 27 0 9 9 7 40 8784 
 341 4 13 52 26 1 8 12 7 40 8183 
 300 4 13 55 28 1 9 9 3 40 9035 
 310 9 15 50 26 3 9 6 4 40 9911 
 340 4 15 48 26 1 8 12 7 40 8932 
 300 4 15 52 26 0 8 8 8 40 8155 
 301 4 15 50 26 1 7 13 3 40 7850 
 402 4 15 53 26 0 7 8 3 40 7043 
 424 4 13 52 28 1 6 13 7 40 6404 
 102 5 15 63 26 0 13 10 7 40 16995 
 102 5 15 59 32 0 13 10 7 40 16995 
 102 5 15 59 32 0 13 10 8 40 16995 
 215 5 15 54 29 1 13 10 4 40 17246 
 211 4 15 63 33 1 12 13 4 40 15832 
 102 5 15 56 26 0 13 10 10 40 16995 
 102 5 15 58 27 2 13 10 8 40 17497 
 102 5 15 55 26 1 12 13 7 40 15832 
 202 4 15 57 28 0 12 13 3 40 15581 
 211 5 15 53 26 1 11 13 7 40 15591 
 211 4 15 58 25 0 13 10 4 40 16995 
 530 5 14 56 30 1 9 13 3 40 10479 
 216 2 14 51 28 2 10 9 7 40 11741 
 566 5 8 51 30 0 6 13 7 40 5925 
 308 5 8 52 29 0 7 13 4 40 6718 
 560 5 10 56 28 0 7 9 4 40 6773 
 566 2 14 53 25 1 6 13 4 20 3846 
 300 4 15 49 27 1 8 12 4 40 8932 
 341 7 13 48 24 2 8 8 7 40 7955 
 304 2 15 51 24 1 9 5 3 40 9256 
 216 12 15 55 24 0 10 13 4 40 11975 
 301 5 15 53 26 0 7 13 2 40 7599 
 303 4 15 53 25 1 8 13 7 40 9064 
 302 4 15 53 25 1 9 5 7 40 9256 
 301 4 15 48 25 2 8 11 3 40 9051 
 304 4 13 59 26 1 7 13 7 40 7197 
 304 4 15 49 24 2 8 9 7 40 8788 
 402 4 15 61 25 0 7 13 7 40 7599 
 301 4 13 53 26 1 8 6 7 40 7465 
 300 4 15 49 25 2 9 6 1 40 9660 
 402 4 13 55 25 1 6 13 3 40 6404 
 301 4 15 58 25 0 8 10 9 40 8418 
 301 10 15 52 25 1 8 8 7 40 8406 
 467 4 15 51 26 2 6 13 7 40 7229 
 303 4 15 53 25 0 9 6 4 40 9158 
 402 7 15 50 25 2 7 11 3 40 7878 
 303 4 15 53 24 0 8 7 7 40 8024 
 400 4 13 52 28 0 6 13 7 40 6153 
 400 4 15 56 29 0 5 13 7 40 6293 
 402 4 15 52 26 2 6 13 10 40 7229 
 400 7 13 60 26 0 5 13 7 40 5720 
 300 4 15 49 25 2 8 5 7 40 8263 
 301 4 11 55 25 0 7 13 3 40 7208 
 301 4 13 48 25 0 7 13 3 40 6946 
 402 10 15 50 27 0 7 6 7 40 6820 
 300 4 13 47 25 1 8 8 7 40 7704 
 303 4 13 48 25 1 7 13 7 40 7197 
 301 4 15 56 25 0 8 8 3 40 8155 
 468 4 13 50 28 1 5 13 7 40 5971 
 541 5 10 56 25 0 8 6 7 40 7495 
 566 2 8 47 27 0 6 13 7 20 3079 
 308 9 12 47 26 0 8 7 7 40 7334 
 499 5 8 64 26 0 6 13 7 40 5925 
 308 5 10 50 19 0 7 11 3 30 5307 
 566 5 8 49 26 0 6 13 7 40 5925 
 447 4 12 61 20 0 5 12 7 20 3040 
 499 12 10 53 19 0 5 13 3 20 3069 
 560 6 12 47 26 0 5 13 7 20 3083 
 566 5 12 45 19 1 5 13 3 40 5971 
 560 6 12 53 20 0 5 13 7 40 5720 
 560 4 12 53 19 0 5 13 7 20 3083 
 560 5 10 59 19 0 5 13 7 30 4495 
 566 5 8 51 25 0 5 13 7 20 2855 
 447 5 12 49 26 2 5 13 7 20 3585 
 560 5 14 53 19 1 5 13 7 20 3620 
 530 5 10 55 25 0 7 8 4 40 6664 
 447 5 8 57 25 0 6 13 3 40 5925 
 560 5 8 52 19 0 5 13 7 20 2855 
 499 4 10 49 24 0 5 13 7 40 5922 
 560 5 12 56 24 1 4 15 7 40 5821 
 499 5 12 47 19 2 5 13 7 20 3585 
 566 5 14 53 24 2 6 10 4 40 6956 
 566 6 8 47 24 0 6 12 7 20 3033 
 211 5 15 58 25 0 12 13 4 40 15581 
 216 10 15 52 24 1 11 8 4 40 13173 
 304 7 15 50 24 2 8 6 2 40 8394 
 541 11 15 58 24 0 9 10 7 40 9770 
 530 9 14 50 25 1 6 13 3 20 3846 
 211 5 15 63 33 1 13 10 10 40 17246 
 102 5 15 64 26 0 14 7 7 40 18351 
 102 5 15 64 30 0 13 10 8 40 16995 
 102 5 11 56 30 0 13 10 8 40 16394 
 102 5 15 59 33 0 13 10 10 40 16995 
 303 4 9 56 26 0 7 13 3 40 6718 
 303 4 15 47 24 3 8 7 4 40 8777 
 102 5 15 54 24 1 12 13 10 40 15832 
 102 5 15 58 29 0 13 10 10 40 16995 
 102 5 15 58 30 0 13 10 4 40 16995 
 102 5 15 62 33 0 13 10 10 36 15379 
 102 5 15 51 27 2 13 10 10 40 17497 
 203 9 15 59 29 0 11 9 10 40 13135 
 204 5 15 61 31 0 9 13 14 40 10228 
 507 8 15 51 30 0 11 3 3 40 11854 
 301 5 11 62 32 0 7 13 12 40 7208 
 304 5 15 52 27 3 9 13 2 40 10981 
 300 4 15 57 29 0 9 13 4 40 10228 
 301 5 13 58 33 1 8 13 3 40 8303 
 304 7 31 54 31 1 8 13 10 40 9064 
 204 5 15 54 24 3 10 2 7 40 10708 
 301 5 13 56 32 1 9 9 3 40 9035 
 304 5 15 57 30 0 9 13 3 40 10228 
 300 4 13 55 31 0 8 13 3 40 8052 
 300 5 13 55 32 0 9 13 3 40 9341 
 300 5 13 51 29 0 10 4 7 40 9426 
 300 5 15 52 24 0 9 9 10 40 9617 
 301 4 15 54 27 0 7 13 7 40 7599 
 301 5 15 58 30 0 8 5 7 40 7761 
 310 10 11 51 24 0 9 13 11 40 9778 
 304 5 15 51 27 0 9 13 8 40 10228 
 301 5 13 51 27 1 9 8 3 40 8896 
 304 5 13 50 25 1 10 4 7 28 7028 
 300 5 15 51 32 0 9 5 3 40 9005 
 301 4 11 50 27 0 9 7 3 40 8881 
 301 5 15 53 27 2 8 11 3 40 9051 
 400 5 13 57 27 3 7 12 7 40 7598 
 300 1 15 55 28 2 7 13 7 40 8101 
 400 5 13 52 27 2 7 13 7 40 7448 
 304 5 15 54 25 0 7 13 7 40 7599 
 300 5 13 51 27 2 8 10 7 40 8194 
 310 5 13 58 25 0 7 13 7 40 6946 
 402 4 15 57 27 1 6 13 10 40 6978 
 500 3 15 61 29 1 12 13 8 40 15832 
 200 4 15 57 33 2 10 9 7 40 11741 
 301 5 15 54 28 0 9 5 7 40 9005 
 303 5 15 52 30 0 9 6 10 40 9158 
 541 5 15 57 29 0 8 6 10 40 7892 
 214 2 11 62 26 0 11 13 4 40 14776 
 201 5 15 61 31 1 11 10 14 40 13600 
 300 5 15 59 32 1 10 13 8 40 12226 
 200 4 15 53 26 0 10 7 8 40 10873 
 300 5 13 54 33 0 9 8 3 40 8645 
 530 6 30 50 25 1 9 2 3 40 8796 
 214 5 15 61 32 0 12 13 12 40 15581 
 500 5 14 47 24 2 11 3 8 40 12356 
 308 5 8 57 31 0 7 13 7 40 6718 
 211 5 15 58 24 2 12 12 10 40 15838 
 204 5 15 57 32 0 12 13 11 40 15581 
 304 7 15 59 32 0 9 13 11 40 10228 
 304 5 15 56 33 0 8 13 14 40 8813 
 204 5 15 50 28 1 10 5 10 40 10757 
 204 5 15 55 26 0 11 8 8 40 12922 
 304 9 13 58 29 0 10 6 3 40 9761 
 424 5 13 54 32 0 7 9 3 40 6542 
 418 5 15 51 27 1 7 13 3 40 7850 
 304 5 15 53 32 0 9 9 7 40 9617 
 443 5 15 51 27 0 7 13 2 40 7599 
 304 5 15 50 24 1 8 11 7 40 8800 
 308 10 15 44 25 1 9 5 2 40 9256 
 308 7 13 48 24 2 8 13 3 40 8554 
 443 5 10 49 25 0 5 13 4 40 5922 
 424 4 8 53 19 0 4 15 3 20 2777 
 341 4 13 49 24 1 8 13 3 40 8303 
 300 7 13 49 24 5 9 9 7 40 10039 
 201 10 15 54 26 3 13 9 10 40 17445 
 202 10 15 48 24 1 12 5 2 40 13878 
 308 2 9 47 24 0 8 13 3 40 7824 
 201 9 15 59 24 1 11 13 8 40 15591 
 304 4 15 53 24 0 9 6 10 40 9158 
 424 5 15 55 29 2 7 13 9 40 8101 
 424 5 13 52 29 0 6 13 3 40 6153 
 301 5 13 59 33 0 8 9 7 40 7573 
 418 5 13 50 29 1 6 13 7 40 6404 
 424 5 11 52 29 0 6 13 7 40 6355 
 424 5 15 54 31 0 7 13 7 40 7599 
 310 5 15 55 29 2 8 7 8 40 8526 
 202 5 11 62 33 0 13 10 10 40 16394 
 502 6 15 55 29 0 10 7 3 40 10873 
 541 11 14 47 26 1 6 13 7 40 6978 
 497 11 13 54 27 0 6 13 7 40 6153 
 497 10 15 57 25 0 6 13 7 40 6727 
 497 11 13 56 29 1 5 13 7 40 5971 
 497 11 13 57 28 0 6 12 7 40 6062 
 440 7 13 54 27 2 6 13 7 40 6655 
 530 5 8 53 19 0 7 13 7 20 3492 
 102 5 8 58 19 0 12 12 10 40 13765 
 214 5 8 55 19 0 8 13 11 20 4067 
 560 5 8 47 19 0 6 10 3 20 2939 
 543 5 14 60 24 2 6 12 3 40 7137 
 560 5 8 56 24 0 5 13 7 40 5492 
 499 4 12 53 19 0 5 13 7 20 3083 
 560 5 10 55 20 0 5 13 10 40 5922 
 560 5 10 50 25 0 6 13 4 40 6355 
 566 5 8 53 19 0 6 13 3 40 5925 
 543 5 14 47 25 1 7 8 10 40 7294 
 560 5 14 45 19 1 4 15 7 20 3542 
 560 5 12 45 25 0 6 13 7 40 6153 
 560 5 14 48 25 1 6 11 3 40 6795 
 543 5 8 47 19 0 6 13 8 40 5925 
 214 5 15 55 26 1 11 13 7 40 15591 
 102 3 15 62 24 2 14 7 10 40 18853 
 543 5 8 50 25 0 7 8 3 40 6212 
 508 11 15 63 32 0 10 13 3 40 11975 
 501 6 13 55 31 0 11 9 3 40 11988 
 501 6 15 55 28 0 11 8 2 40 12922 
 501 6 15 55 32 0 10 13 7 40 11975 
 501 6 15 61 28 0 10 10 2 40 11423 
 531 6 13 57 26 1 9 9 7 40 9035 
 531 6 15 52 27 1 9 10 7 40 10021 
 531 6 15 51 26 0 8 13 7 40 8813 
 543 6 10 58 28 0 7 13 7 40 7208 
 560 6 13 57 26 0 6 13 3 40 6153 
 531 6 9 54 25 0 9 8 7 40 8417 
 560 6 12 49 27 2 6 13 7 40 6655 
 530 6 29 47 29 0 8 10 7 40 7692 
 561 6 13 54 30 0 6 12 7 40 6062 
 531 6 13 48 26 2 9 1 7 40 8171 
 502 6 15 55 26 0 11 10 4 40 13349 
 502 6 15 54 26 1 10 7 12 40 11124 
 543 6 8 47 28 0 8 2 7 40 6508 
 532 6 8 50 30 0 7 13 3 40 6718 
 543 11 8 48 27 0 7 9 7 40 6314 
 532 6 13 50 27 1 8 6 7 40 7465 
 562 6 12 48 26 0 5 13 7 20 3083 
 532 6 12 48 28 2 6 13 7 40 6655 
 532 6 13 46 27 0 8 4 7 40 6975 
 560 11 24 46 24 0 5 13 3 40 5492 
 560 6 8 50 19 0 6 13 7 20 3079 
 204 9 15 55 26 2 13 8 7 40 16891 
 204 9 15 54 25 0 11 13 7 40 15340 
 202 9 13 52 25 1 11 11 3 40 12627 
 204 9 15 53 24 0 12 12 7 40 15336 
 302 9 13 60 33 1 9 12 7 40 9453 
 530 1 15 57 32 1 10 5 8 40 10757 
 302 7 15 59 28 1 9 13 2 40 10479 
 361 9 15 52 28 1 8 13 10 40 9064 
 361 9 15 54 30 0 8 13 3 40 8813 
 300 9 15 53 33 1 9 9 3 40 9868 
 361 9 13 61 29 0 9 13 7 40 9341 
 361 9 15 58 29 0 9 9 10 40 9617 
 308 9 11 49 27 0 7 13 10 40 7208 
 302 9 15 59 27 1 7 13 7 40 7850 
 361 9 15 58 29 0 9 5 7 40 9005 
 204 9 15 49 25 2 10 6 2 40 11191 
 300 9 15 49 26 3 9 2 7 40 9298 
 361 9 15 53 27 0 7 13 3 40 7599 
 302 9 13 57 27 0 7 13 7 40 6946 
 361 9 11 51 29 0 8 7 10 40 7623 
 361 9 15 50 28 1 9 9 7 40 9868 
 443 9 8 50 25 0 6 13 3 32 4787 
 500 8 15 64 28 0 12 13 4 40 15581 
 211 7 15 54 25 1 13 10 3 40 17246 
 201 9 15 54 25 1 12 10 10 40 15098 
 201 9 15 58 26 5 11 9 8 40 14390 
 216 2 8 49 24 0 10 9 7 40 10033 
 216 2 15 52 24 1 11 13 10 40 15591 
 417 4 15 51 24 1 7 6 7 40 7071 
 418 4 13 50 23 1 6 13 3 40 6404 
 308 5 13 47 23 2 9 4 7 40 8589 
 102 5 15 52 24 3 12 9 4 40 15355 
 201 7 15 55 25 1 12 13 12 40 15832 
 204 4 15 53 27 1 13 8 7 40 16640 
 304 9 13 50 24 3 8 6 7 40 7967 
 103 12 15 57 30 1 13 10 10 40 17246 
 103 12 15 61 28 0 13 10 8 40 16995 
 103 12 15 58 28 1 13 10 14 40 17246 
 103 12 15 59 30 0 13 10 7 40 16995 
 302 4 15 58 24 0 8 6 7 40 7892 
 440 7 10 51 24 0 6 13 4 32 5131 
 202 9 13 47 24 2 10 1 7 40 9427 
 341 9 15 55 25 0 9 10 8 40 9770 
 441 4 15 55 27 0 6 13 3 40 6727 
 341 9 15 55 28 0 8 12 3 40 8681 
 341 7 15 52 25 3 9 4 10 40 9605 
 304 10 13 48 27 1 9 8 3 40 8896 
 341 7 11 47 24 0 8 9 7 40 7880 
 341 9 15 48 27 0 8 8 3 40 8155 
 341 7 13 47 25 2 8 8 3 40 7955 
 310 9 13 52 33 0 8 13 3 40 8052 
 402 9 13 52 26 0 7 11 3 40 6744 
 402 9 15 50 26 0 6 13 7 40 6727 
 402 9 13 51 25 0 6 13 3 40 6153 
 402 9 13 48 26 2 6 13 3 40 6655 
 202 7 15 58 28 3 12 13 3 40 16334 
 204 3 15 53 28 2 12 12 2 40 15838 
 204 9 15 56 27 2 11 13 4 40 15842 
 304 9 11 58 33 0 9 12 7 40 9629 
 304 9 13 59 29 0 6 13 7 40 6153 
 202 9 15 58 25 1 12 13 8 40 15832 
 304 9 15 56 29 0 9 13 11 40 10228 
 300 10 15 57 27 0 8 13 10 40 8813 
 300 9 15 55 25 1 9 4 8 40 9103 
 204 4 15 56 28 1 10 7 4 40 11124 
 304 9 15 59 30 0 9 12 4 40 10075 
 304 9 15 57 27 0 8 8 7 40 8155 
 211 9 15 55 26 1 11 13 4 40 15591 
 202 9 15 52 25 3 11 11 4 40 14315 
 304 9 15 55 31 0 9 8 3 40 9464 
 316 9 9 55 32 0 10 5 7 40 9366 
 303 9 15 56 29 1 8 11 3 40 8800 
 316 9 15 52 24 3 9 11 7 40 10676 
